Categoria,N°Passageiros,Cap.PortaMalas,ArCondicionado,Câmbio,Valor
1,5,2,1,0,121
2,5,2,1,0,118
3,5,2,1,0,136
4,5,3,1,1,176
5,5,2,1,1,309
1,5,2,1,1,540
3,5,1,1,0,454
1,5,1,1,1,248
3,5,2,1,1,259
1,5,1,1,0,249
4,5,3,1,1,1117
5,5,2,1,1,462
2,5,1,1,1,368
5,5,2,1,1,620
2,5,1,1,1,375
1,5,1,0,0,373
4,5,2,1,1,570
3,5,1,1,0,185
3,5,2,1,0,214
2,5,1,1,1,236
4,5,3,1,1,630
5,5,2,1,1,168
5,5,1,1,1,417
4,5,2,1,0,314
4,5,3,1,1,379
2,5,2,1,1,168
2,5,1,1,0,166
1,5,2,1,1,530
3,5,1,1,1,394
5,5,2,1,0,418